run_id,timestamp,datetime,switch_id,port_no,throughput_mbps,packet_loss_rate,latency_ms,jitter_ms,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,label
run_20260510_190310,1778436219.905447,19:03:39,2,1,0.08411,0.279157,9.786,1.4615,17629130,15570188,47376,42125,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436219.9059904,19:03:39,5,1,0.009351,0.15591,10.366,1.7647,2077722,2078016,14643,14646,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436221.969408,19:03:41,1,4,4.517605,0.177696,5.613,2.2157,2287420,91344634,17749,72220,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436221.969408,19:03:41,1,1,0.164849,0.279157,5.613,2.2157,130814968,31462314,157314,85178,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436221.969408,19:03:41,1,2,0.144814,0.525661,5.613,2.2157,24227300,14347640,60821,52326,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436221.969408,19:03:41,1,3,0.358321,0.095046,5.613,2.2157,49215894,43504824,137197,120449,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436221.9711156,19:03:41,5,1,0.007151,0.177696,8.6,1.7648,2079568,2079862,14656,14659,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436221.9720335,19:03:41,4,1,0.337984,0.095046,7.533,1.7469,45612650,39393054,130216,112064,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436221.972688,19:03:41,3,1,0.069343,0.525661,6.615,1.5233,13608616,11031830,50318,40205,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436221.9730394,19:03:41,2,1,0.07268,0.300735,8.08,1.4767,17658490,15588972,47456,42177,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436224.034422,19:03:44,5,1,0.008809,0.178707,7.699,1.7108,2081840,2082134,14672,14675,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436224.0356405,19:03:44,3,1,0.070718,0.412403,8.921,1.5722,13635738,11050066,50409,40263,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436224.0365043,19:03:44,1,4,4.47363,0.178707,6.881,2.1565,2289408,92500562,17763,72999,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436224.0365043,19:03:44,1,1,0.172091,0.300735,6.881,2.1565,132241706,31506780,158378,85301,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436224.0365043,19:03:44,1,2,0.14205,0.412403,6.881,2.1565,24274658,14384344,60970,52438,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436224.0365043,19:03:44,1,3,0.354097,0.098085,6.881,2.1565,49320526,43596318,137493,120706,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436224.0373054,19:03:44,4,1,0.335514,0.098085,8.567,1.7023,45713972,39479670,130507,112312,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436224.0378633,19:03:44,2,1,0.086252,0.284514,9.46,1.4707,17688734,15611234,47538,42238,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436226.1004984,19:03:46,5,1,0.008248,0.182541,4.314,1.8154,2083970,2084264,14687,14690,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436226.1017263,19:03:46,4,1,0.347433,0.111299,6.735,1.7105,45816966,39569326,130806,112572,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436226.1029034,19:03:46,3,1,0.080919,0.396467,5.268,1.7022,13662812,11070976,50502,40332,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436226.1033614,19:03:46,1,4,4.420927,0.182541,6.179,2.0656,2291538,93642740,17778,73768,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436226.1033614,19:03:46,1,1,0.175741,0.284514,6.179,2.0656,133657910,31552184,159438,85427,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436226.1033614,19:03:46,1,2,0.152417,0.396467,6.179,2.0656,24321284,14423722,61119,52561,0,0,CAPACITY_EXHAUSTED
